SDSS Object ID,RA,DEC,X-ray,Ks mag,zsp,rmag,DR1 Source,RA,DEC,Sint,DR2 Source,RA2,DEC2,SpeakTot,e_Sint,Offset,WISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W23,W12,FIRST Flux (mJy),VLASS Flux (mJy),Spec from VLASS (upper limit),Spec from FIRST (upper limit),Metallicity,Log(SFR),C Log(SFR),Log(Mass),Log(sSFR),OIII5008,OIII5008_err,HBeta,HBeta_err,NII6548,NII6548_err,HAlpha,HAlpha_err,SII6731,e_SII6731	,SII6717,e_SII6717,SIIsummed,SIIsummed_err,OI6302,OI6302_err,cont (ha),flux/cont (WHa),cont_err,Radio Loudness,Spec from VLASS (upper limit),Spec from FIRST (upper limit),OIII/Hbeta,Class (VLASS),Class (FIRST),gmag
1237661852543418468,185.855016,46.130443,2.58E-12,13.707,0.03867,15.419,ILTJ122325.20+460749.5,185.855,46.1304,3.8,ILTJ122325.22+460749.3,185.85508,46.13039,3.646,0.115,0.24,J122325.20+460749.1,12.85,0.025,12.701,0.028,8.771,0.029,3.93,0.149,0.45,0.48,-0.67,-0.93,8.8691,0.724,0.483,10.456,-9.973,39.099,0.043,39.837,0.01,39.769,0.006,40.552,0.005,39.632,0.015,39.752,0.012,79.384,0.027,38.895,0.064,39.044,1.038623092,0.02,0.47,-0.67,-0.93,-0.74,2,1,16.165
1237657628451995752,172.290394,50.999152,3.50E-12,13.770,0.03397,16.391,ILTJ112909.73+505956.8,172.2905,50.9991,1.3,ILTJ112909.71+505956.7,172.29046,50.99909,1.943,0.203,0.26,J112909.71+505957.2,12.955,0.024,12.867,0.025,10.004,0.049,2.863,0.088,0.45,0.48,-0.46,-0.65,,0.058,-0.485,10.107,-10.592,38.788,0.062,38.906,0.044,0,,0,,39,0.043,42.309,1.51,81.309,1.553,38.337,0.15,0,0,0,0.60,-0.46,-0.65,-0.12,2,2,17.177
1237661150303355047,190.831551,49.141347,2.32E-12,14.031,0.03093,16.649,ILTJ124319.57+490829.0,190.8315,49.1414,2.6,ILTJ124319.56+490829.0,190.83148,49.1414,3.453,0.162,0.26,J124319.58+490829.0,13.133,0.024,12.943,0.027,8.974,0.028,3.969,0.19,0.45,0.48,-0.66,-0.91,8.7794,0.328,0.007,9.947,-9.940,38.835,0.041,39.352,0.014,39.252,0.007,40.094,0.005,39.286,0.016,39.393,0.013,78.679,0.029,38.566,0.062,38.573,1.039431727,0.018,0.98,-0.66,-0.91,-0.52,2,1,17.513
1237658205594255546,215.654567,46.437184,1.66E-12,13.335,0.03377,16.138,ILTJ142237.10+462613.9,215.6546,46.4372,1.8,ILTJ142237.09+462614.1,215.65456,46.43727,2.854,0.21,0.31,J142237.10+462613.8,12.76,0.023,12.626,0.024,8.962,0.026,3.664,0.134,0.45,0.48,-0.59,-0.82,8.7635,0.405,0.134,10.181,-10.047,39.259,0.029,39.724,0.011,39.567,0.007,40.407,0.005,39.486,0.018,39.634,0.014,79.12,0.032,38.485,0.145,38.993,1.036262919,0.012,0.67,-0.59,-0.82,-0.46,2,1,16.926
1237661152456540212,210.475635,48.026581,2.73E-12,14.269,0.03592,16.725,ILTJ140154.09+480135.6,210.4754,48.0266,1.1,ILTJ140154.14+480135.3,210.47558,48.0265,1.677,0.161,0.32,J140154.16+480135.7,13.684,0.025,13.534,0.029,10.001,0.048,3.533,0.15,0.45,0.48,-0.42,-0.59,8.5923,0.042,-0.195,9.721,-9.916,39.696,0.011,39.791,0.009,39.426,0.007,40.432,0.004,39.615,0.012,39.738,0.01,79.353,0.022,38.67,0.072,38.844,1.040881475,0.023,0.60,-0.42,-0.59,-0.09,2,2,17.343
1237659326555291664,218.498407,56.047502,1.49E-12,14.037,0.03684,16.479,ILTJ143359.66+560250.4,218.4986,56.0474,2.6,ILTJ143359.65+560250.8,218.49853,56.04744,3.261,0.164,0.34,J143359.61+560250.8,13.069,0.024,12.879,0.024,8.975,0.026,3.904,0.19,0.45,0.48,-0.64,-0.88,8.7027,0.518,0.073,9.998,-9.925,39.399,0.019,39.668,0.011,39.541,0.006,40.375,0.005,39.526,0.015,39.653,0.012,79.179,0.027,38.888,0.051,38.749,1.041962373,0.019,0.82,-0.64,-0.88,-0.27,2,1,17.157
1237657630060052569,162.846864,50.93083,3.26E-12,13.072,0.02429,15.036,ILTJ105123.23+505551.3,162.8468,50.9309,2.2,ILTJ105123.22+505551.2,162.84674,50.9309,3.203,0.194,0.39,J105123.23+505551.3,12.247,0.023,12.113,0.022,8.536,0.025,3.577,0.134,0.45,0.48,-0.63,-0.87,8.8495,0.27,0.212,0.000,0,0,,0,,0,,0,,0,,0,,0,0,0,,0,0,0,0.27,-0.63,-0.87,0.00,2,1,15.812
1237661416067367031,220.075537,50.769005,2.93E-12,13.701,0.0429,15.855,ILTJ144018.18+504608.2,220.0758,50.769,1.6,ILTJ144018.09+504608.5,220.07537,50.76904,1.673,0.154,0.4,J144018.13+504607.6,13.08,0.034,13.015,0.037,9.64,0.048,3.375,0.065,0.45,0.48,-0.41,-0.58,8.8131,0.457,0.275,10.377,-10.102,38.885,0.08,39.533,0.02,39.374,0.013,40.243,0.007,39.208,0.04,39.376,0.029,78.584,0.069,38.693,0.123,39.078,1.029812171,0.028,0.30,-0.41,-0.58,-0.65,2,2,16.593
1237661152450314246,188.997292,50.818504,2.23E-12,14.540,0.04172,16.176,ILTJ123559.36+504906.7,188.9973,50.8185,1.7,ILTJ123559.37+504907.0,188.99736,50.81861,2.213,0.143,0.42,J123559.36+504906.8,13.621,0.025,13.431,0.031,9.475,0.035,3.956,0.19,0.45,0.48,-0.51,-0.71,8.7123,0.375,0.082,9.884,-9.802,39.576,0.017,40.01,0.008,39.656,0.006,40.625,0.004,39.789,0.011,39.933,0.009,79.722,0.02,39.06,0.042,38.964,1.042629094,0.018,0.44,-0.51,-0.71,-0.43,2,1,16.632
1237661357544046694,183.734652,47.518376,4.65E-12,14.059,0.02397,16.578,ILTJ121456.29+473106.1,183.7345,47.5184,1.8,ILTJ121456.28+473105.8,183.73452,47.5183,2.06,0.125,0.42,J121456.32+473106.0,13.351,0.024,13.182,0.028,8.904,0.027,4.278,0.169,0.45,0.48,-0.48,-0.68,8.9074,0.147,-0.094,9.539,-9.633,38.473,0.057,39.49,0.009,39.254,0.006,40.196,0.004,39.167,0.015,39.273,0.012,78.44,0.027,38.407,0.07,38.557,1.042508494,0.012,0.66,-0.48,-0.68,-1.02,2,2,17.255
