SDSS Object ID,RA,DEC,zsp,DR1 Source,RA,DEC,Sint,DR2 Source,RA,DEC,Sint,Offset,WISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W23,W12
1237661852543090786,184.764301,46.106784,0.03857,ILTJ121903.44+460624.4,184.7644,46.1068,0.9,ILTJ121903.43+460624.1,184.76428,46.1067,1.334,0.3,J121903.44+460624.4,13.446,0.025,13.302,0.029,9.727,0.042,3.575,0.144
1237661852543418468,185.855016,46.130443,0.03867,ILTJ122325.20+460749.5,185.855,46.1304,3.8,ILTJ122325.22+460749.3,185.85508,46.13039,3.646,0.24,J122325.20+460749.1,12.85,0.025,12.701,0.028,8.771,0.029,3.93,0.149
1237661852543221786,185.225667,46.161705,0.0386,ILTJ122054.24+460941.6,185.226,46.1616,2.5,ILTJ122054.25+460941.8,185.22603,46.16163,3.167,0.94,J122054.15+460942.1,12.758,0.023,12.756,0.026,11.079,0.115,1.677,0.002
1237661150846648414,212.307059,46.241502,0.03997,ILTJ140913.69+461429.2,212.307,46.2415,0.8,ILTJ140913.73+461429.5,212.3072,46.24155,1.106,0.39,J140913.69+461429.4,14.216,0.026,13.988,0.035,9.861,0.04,4.127,0.228
1237661355933630475,184.365466,46.272584,0.03839,ILTJ121727.70+461621.6,184.3654,46.2727,0.9,ILTJ121727.71+461621.7,184.36545,46.27272,0.931,0.5,J121727.71+461621.3,12.371,0.024,12.382,0.024,11.576,0.15,0.806,-0.011
1237661362372608129,205.27343,46.278381,0.03682,ILTJ134105.64+461641.9,205.2735,46.2783,1.6,ILTJ134105.63+461642.1,205.27345,46.27836,2.03,0.09,J134105.61+461642.2,13.675,0.025,13.497,0.029,9.8,0.05,3.697,0.178
1237661433775063058,196.784008,46.309543,0.02464,ILTJ130708.14+461834.2,196.7839,46.3095,2.2,ILTJ130708.16+461834.1,196.78402,46.30949,2.91,0.19,J130708.15+461834.6,12.699,0.034,12.431,0.033,8.036,0.027,4.395,0.268
1237658205594255546,215.654567,46.437184,0.03377,ILTJ142237.10+462613.9,215.6546,46.4372,1.8,ILTJ142237.09+462614.1,215.65456,46.43727,2.854,0.31,J142237.10+462613.8,12.76,0.023,12.626,0.024,8.962,0.026,3.664,0.134
1237662303511511224,224.200045,46.502327,0.03699,ILTJ145647.98+463008.6,224.1999,46.5024,2.1,ILTJ145648.01+463008.7,224.20006,46.50242,3.645,0.33,J145648.01+463009.2,12.889,0.035,12.791,0.036,9.003,0.036,3.788,0.098
1237661434850312248,202.105343,46.591643,0.00807,ILTJ132825.26+463529.7,202.1053,46.5916,1.7,ILTJ132825.23+463530.4,202.10511,46.59179,2.124,0.78,J132825.28+463529.9,10.472,0.022,10.452,0.019,8.243,0.021,2.209,0.02
